"Males Rank","Females Rank",State,"Male HIV awareness (%)","Female HIV awareness (%)"
1,1,Manipur,99,99
1,2,Kerala,99,95
3,3,"Tamil Nadu",98,94
4,3,Mizoram,96,94
5,11,"Andhra Pradesh",93,74
6,5,Goa,92,83
6,8,"Himachal Pradesh",92,79
6,13,Punjab,92,70
9,7,Nagaland,91,81
10,9,Uttarakhand,90,79
11,10,Sikkim,89,75
11,12,Tripura,89,73
13,17,"Jammu and Kashmir",88,61
14,6,Maharashtra,87,82
15,18,Haryana,87,60
16,14,Karnataka,85,66
17,22,Gujarat,80,49
"","","Whole INDIA",80,57
18,14,"Arunachal Pradesh",75,66
18,20,Assam,75,53
20,21,"West Bengal",74,50
20,25,"Uttar Pradesh",74,40
20,27,Rajasthan,74,34
23,16,Odisha,73,62
24,26,Bihar,70,35
25,23,"Madhya Pradesh",68,45
26,24,Chhattisgarh,67,41
27,19,Meghalaya,63,57
28,28,Jharkhand,53,29
